symbol,entry_time,entry_price,exit_time,exit_price,initial_stop,stop_updates_count,pnl,pnl_pct,exit_reason,entry_conditions
CZCE.AP605,2025-09-26 14:15:00.000000,8286.0,2025-10-14 09:00:00.000000,8619.0,8265.00,9,6660.00,4.02%,初始止损 (5分钟前前绿柱堆 K 线低点:8265.00),红柱堆底部抬升 (绿柱低:8144.00→红柱拐头低:8193.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
CZCE.AP605,2025-10-17 14:20:00.000000,8817.0,2025-10-22 09:35:00.000000,9277.0,8451.00,6,9200.00,5.22%,初始止损 (5分钟前前绿柱堆 K 线低点:8451.00),60m 底背离确认 (低:8144.00→8451.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.AP605,2025-10-27 10:00:00.000000,9474.0,2025-10-29 13:40:00.000000,9680.0,9256.00,6,4120.00,2.17%,初始止损 (5分钟前前绿柱堆 K 线低点:9256.00),60m 底背离确认 (低:8451.00→9256.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.AP605,2025-11-19 09:00:00.000000,9354.0,2025-11-19 09:05:00.000000,9334.0,9334.00,1,-400.00,-0.21%,初始止损 (5分钟前前绿柱堆 K 线低点:9334.00),60m 底背离确认 (低:9000.00→9240.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.AP605,2025-11-20 14:20:00.000000,9380.0,2025-11-21 13:55:00.000000,9364.0,9290.00,3,-320.00,-0.17%,移动止损 (前前绿柱堆 K 线低点:9364.00),60m 底背离确认 (低:9000.00→9240.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.AP605,2025-12-01 14:30:00.000000,9614.0,2025-12-03 10:05:00.000000,9708.0,9501.00,5,1880.00,0.98%,初始止损 (5分钟前前绿柱堆 K 线低点:9501.00),红柱堆底部抬升 (绿柱低:9198.00→红柱拐头低:9492.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
CZCE.AP605,2025-12-10 10:00:00.000000,9528.0,2025-12-10 13:40:00.000000,9433.0,9433.00,1,-1900.00,-1.00%,初始止损 (5分钟前前绿柱堆 K 线低点:9433.00),60m 底背离确认 (低:9198.00→9341.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.AP605,2025-12-10 14:00:00.000000,9458.0,2025-12-11 14:15:00.000000,9453.0,9433.00,2,-100.00,-0.05%,初始止损 (5分钟前前绿柱堆 K 线低点:9433.00),60m 底背离确认 (低:9198.00→9341.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.AP605,2025-12-12 09:10:00.000000,9482.0,2025-12-12 09:30:00.000000,9460.0,9460.00,1,-440.00,-0.23%,初始止损 (5分钟前前绿柱堆 K 线低点:9460.00),60m 底背离确认 (低:9198.00→9341.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.AP605,2025-12-25 09:15:00.000000,9174.0,2025-12-25 09:20:00.000000,9168.0,9168.00,1,-120.00,-0.07%,初始止损 (5分钟前前绿柱堆 K 线低点:9168.00),红柱堆底部抬升 (绿柱低:8896.00→红柱拐头低:9162.00) + 5m 红柱+阳柱确认 [红柱堆内 DIF 拐头]
CZCE.AP605,2025-12-31 09:05:00.000000,9196.0,2026-01-05 09:00:00.000000,9070.0,9070.00,1,-2520.00,-1.37%,初始止损 (5分钟前前绿柱堆 K 线低点:9070.00),60m 底背离确认 (低:8896.00→9054.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.AP605,2026-01-05 10:00:00.000000,9230.0,2026-01-08 13:35:00.000000,9528.0,9146.00,4,5960.00,3.23%,移动止损 (前前绿柱堆 K 线低点:9528.00),60m 底背离确认 (低:8896.00→9054.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.AP605,2026-01-09 10:00:00.000000,9620.0,2026-01-12 10:10:00.000000,9659.0,9528.00,3,780.00,0.41%,移动止损 (前前绿柱堆 K 线低点:9659.00),60m 底背离确认 (低:9054.00→9506.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.AP605,2026-01-13 11:20:00.000000,9735.0,2026-01-15 10:55:00.000000,9880.0,9623.00,5,2900.00,1.49%,移动止损 (前前绿柱堆 K 线低点:9880.00),60m 底背离确认 (低:9506.00→9596.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
CZCE.AP605,2026-02-03 10:05:00.000000,9480.0,2026-02-06 09:00:00.000000,9553.0,9352.00,4,1460.00,0.77%,初始止损 (5分钟前前绿柱堆 K 线低点:9352.00),60m 底背离确认 (低:9312.00→9335.00) + 5m 红柱+阳柱确认 [绿柱堆内 DIF 拐头]
