ProductID,Exchange,main,main_OI,main_Vol,main2,main2_OI,main2_Vol,main3,main3_OI,main3_Vol,main4,main4_OI,main4_Vol,HasMarketData
IC,CFFEX,IC2609,121164,78729,IC2612,102862,37793,IC2703,39784,11859,,,,1
IF,CFFEX,IF2609,110440,55597,IF2612,103188,25748,IF2703,39266,5637,,,,1
IH,CFFEX,IH2609,50673,23296,IH2612,45418,9883,IH2703,11748,2385,,,,1
IM,CFFEX,IM2609,186009,128222,IM2612,159115,60078,IM2703,69950,16483,,,,1
T,CFFEX,T2612,394115,70727,T2703,14173,2071,T2609,1822,165,,,,1
TF,CFFEX,TF2612,205166,45962,TF2703,5704,1310,TF2609,5694,91,,,,1
TL,CFFEX,TL2612,200197,89876,TL2703,19604,4649,TL2609,7458,17,,,,1
TS,CFFEX,TS2612,72177,32351,TS2703,2251,407,TS2609,490,202,,,,1
AP,CZCE,AP701,115811,0,AP611,23120,0,AP610,19281,0,,,,1
CF,CZCE,CF701,531960,201147,CF611,262667,46323,CF703,67150,32862,,,,1
CJ,CZCE,CJ701,201446,0,CJ705,36466,0,CJ612,26676,0,,,,1
CY,CZCE,CY611,13384,4541,CY701,6801,1825,CY609,210,0,,,,1
FG,CZCE,FG701,1216161,625826,FG611,330520,67083,FG703,124540,21912,,,,1
JR,CZCE,JR609,0,0,JR611,0,0,JR701,0,0,,,,0
MA,CZCE,MA610,634492,1338973,MA701,561381,211139,MA611,346181,320344,,,,1
OI,CZCE,OI701,307506,169002,OI611,222688,69150,OI703,48043,12407,,,,1
PF,CZCE,PF611,216532,121236,PF610,61219,54820,PF612,48189,25188,,,,1
PK,CZCE,PK611,205996,0,PK612,68729,0,PK610,27426,0,,,,1
PL,CZCE,PL611,26820,25715,PL612,11599,2404,PL701,7520,398,,,,1
PM,CZCE,PM609,0,0,PM611,0,0,PM701,0,0,,,,0
PR,CZCE,PR611,60324,26619,PR612,17324,7655,PR610,12526,3537,,,,1
PX,CZCE,PX611,166660,156005,PX701,51732,14714,PX612,46813,59368,,,,1
RI,CZCE,RI609,0,0,RI611,0,0,RI701,0,0,,,,0
RM,CZCE,RM611,604443,317973,RM701,579024,206380,RM703,133753,46649,,,,1
RS,CZCE,RS609,21,0,RS611,16,0,,0,0,,,,1
SA,CZCE,SA701,1315468,657529,SA611,355955,92130,SA612,147095,49683,,,,1
SF,CZCE,SF611,388801,0,SF701,111449,0,SF612,66705,0,,,,1
SH,CZCE,SH611,236496,175093,SH701,72100,20496,SH612,35233,18124,,,,1
SM,CZCE,SM611,296976,0,SM701,223727,0,SM612,46152,0,,,,1
SR,CZCE,SR701,651034,248164,SR611,197177,47825,SR705,129133,20377,,,,1
TA,CZCE,TA701,1133349,491154,TA611,584405,133267,TA610,260881,69220,,,,1
UR,CZCE,UR701,268281,0,UR611,88112,0,UR612,36600,0,,,,1
WH,CZCE,WH609,0,0,WH611,0,0,WH701,0,0,,,,0
ZC,CZCE,ZC610,0,0,ZC611,0,0,ZC612,0,0,,,,0
a,DCE,a2611,370878,150955,a2701,181112,51186,a2703,82806,14652,,,,1
b,DCE,b2611,208824,98970,b2612,58325,4673,b2610,57445,9090,,,,1
bb,DCE,bb2611,216,0,bb2701,109,0,bb2703,45,0,,,,1
bz,DCE,bz2610,31375,47470,bz2611,17236,8004,bz2612,5980,474,,,,1
c,DCE,c2611,1195017,292727,c2701,577039,104639,c2703,274171,18182,,,,1
cs,DCE,cs2611,288248,73418,cs2701,60201,12857,cs2703,43984,2875,,,,1
eb,DCE,eb2610,342944,671640,eb2611,224287,162478,eb2612,56012,25836,,,,1
eg,DCE,eg2610,362269,969557,eg2701,199919,125960,eg2611,131368,61373,,,,1
fb,DCE,fb2611,9932,0,fb2612,7417,0,fb2701,4315,0,,,,1
i,DCE,i2701,612487,128849,i2705,96916,7485,i2611,88927,2636,,,,1
j,DCE,j2701,62292,27345,j2611,4911,581,j2610,4353,337,,,,1
jd,DCE,jd2611,270019,0,jd2612,161707,0,jd2610,91188,0,,,,1
jm,DCE,jm2701,524948,393390,jm2610,96916,55489,jm2611,91753,25127,,,,1
l,DCE,l2701,448690,228315,l2611,136340,14609,l2610,124627,25064,,,,1
l_f,DCE,l2611F,5826,1282,l2610F,5331,187,l2612F,2329,256,,,,1
lg,DCE,lg2611,16522,0,lg2701,4282,0,lg2703,2842,0,,,,1
lh,DCE,lh2611,224001,0,lh2701,123990,0,lh2703,105058,0,,,,1
m,DCE,m2701,2787889,818590,m2705,817133,121796,m2611,616521,56578,,,,1
p,DCE,p2701,598922,376541,p2705,283199,146612,p2611,55859,5686,,,,1
pg,DCE,pg2610,97743,77976,pg2611,80905,14907,pg2612,41089,2775,,,,1
