symbol,entry_time,entry_price,exit_time,exit_price,initial_stop,stop_updates_count,pnl,pnl_pct,exit_reason
CZCE.AP605,2025-09-24 14:10:00.000000,8263.0,2025-09-25 09:35:00.000000,8242.0,8184.00,2,-210.00,-0.25%,初始止损 (前前绿柱堆间 K 线低点:8184.00)
CZCE.AP605,2025-10-14 10:10:00.000000,8675.0,2025-10-14 11:20:00.000000,8632.0,8632.00,1,-430.00,-0.50%,初始止损 (前前绿柱堆间 K 线低点:8632.00)
CZCE.AP605,2025-10-20 09:05:00.000000,8993.0,2025-10-22 09:00:00.000000,9235.0,8487.00,4,2420.00,2.69%,初始止损 (前前绿柱堆间 K 线低点:8487.00)
CZCE.AP605,2025-10-23 11:20:00.000000,9318.0,2025-10-24 09:00:00.000000,9327.0,9293.00,4,90.00,0.10%,初始止损 (前前绿柱堆间 K 线低点:9293.00)
CZCE.AP605,2025-10-27 11:25:00.000000,9548.0,2025-10-29 13:30:00.000000,9685.0,9300.00,5,1370.00,1.43%,初始止损 (前前绿柱堆间 K 线低点:9300.00)
CZCE.AP605,2025-11-26 09:00:00.000000,9476.0,2025-12-01 09:10:00.000000,9508.0,9259.00,4,320.00,0.34%,初始止损 (前前绿柱堆间 K 线低点:9259.00)
CZCE.AP605,2025-12-02 09:00:00.000000,9682.0,2025-12-03 09:05:00.000000,9709.0,9498.00,4,270.00,0.28%,移动止损 (前前绿柱堆间 K 线低点:9709.00)
CZCE.AP605,2025-12-10 11:15:00.000000,9560.0,2025-12-10 13:40:00.000000,9445.0,9445.00,1,-1150.00,-1.20%,初始止损 (前前绿柱堆间 K 线低点:9445.00)
CZCE.AP605,2025-12-12 10:00:00.000000,9520.0,2025-12-15 09:00:00.000000,9475.0,9463.00,2,-450.00,-0.47%,初始止损 (前前绿柱堆间 K 线低点:9463.00)
CZCE.AP605,2025-12-19 13:35:00.000000,9128.0,2025-12-22 14:40:00.000000,9206.0,9001.00,4,780.00,0.85%,移动止损 (前前绿柱堆间 K 线低点:9206.00)
CZCE.AP605,2026-01-05 14:50:00.000000,9558.0,2026-01-07 11:25:00.000000,9551.0,9162.00,3,-70.00,-0.07%,移动止损 (前前绿柱堆间 K 线低点:9551.00)
CZCE.AP605,2026-01-09 13:30:00.000000,9708.0,2026-01-12 10:10:00.000000,9685.0,9503.00,3,-230.00,-0.24%,移动止损 (前前绿柱堆间 K 线低点:9685.00)
CZCE.AP605,2026-01-14 09:35:00.000000,9795.0,2026-01-15 10:55:00.000000,9936.0,9760.00,4,1410.00,1.44%,移动止损 (前前绿柱堆间 K 线低点:9936.00)
CZCE.AP605,2026-01-27 09:35:00.000000,9526.0,2026-01-27 09:45:00.000000,9509.0,9509.00,1,-170.00,-0.18%,初始止损 (前前绿柱堆间 K 线低点:9509.00)
CZCE.AP605,2026-01-27 14:25:00.000000,9500.0,2026-01-28 13:40:00.000000,9494.0,9395.00,3,-60.00,-0.06%,初始止损 (前前绿柱堆间 K 线低点:9395.00)
